nombre,apellido,nacimiento,cod_pais
Meryl,Streep,1949-06-22,USA
Leonardo,DiCaprio,1974-11-11,USA
Natalie,Portman,1981-06-09,ISR
Brad,Pitt,1963-12-18,USA
Cate,Blanchett,1969-05-14,AUS
Tom,Hanks,1956-07-09,USA
Penélope,Cruz,1974-04-28,ESP
Denzel,Washington,1954-12-28,USA
Jodie,Foster,1962-11-19,USA
Michael,Keaton,1951-09-05,USA
Harrison,Ford,1942-07-13,USA
Charlize,Teron,1975-08-07,ZAF
Joaquin,Phoenix,1974-10-28,USA
Viola,Davis,1965-08-11,USA
Matthew,McConaughey,1969-11-04,USA
Saoirse,Ronan,1994-04-12,IRL
Julia,Roberts,1967-10-28,USA
Will,Smith,1968-09-25,USA
Alicia,Vikander,1988-10-03,SWE
Daniel,Day-Lewis,1957-04-29,GBR
Emma,Stone,1988-11-06,USA
Ryan,Reynolds,1976-10-23,USA
Margot,Robbie,1990-07-02,AUS
Christian,Bale,1974-01-30,GBR
Nicole,Kidman,1967-06-20,AUS
Jake,Gyllenhaal,1980-12-19,USA
Jessica,Chastain,1977-03-24,USA
Ethan,Hawke,1970-11-06,USA
Tilda,Swinton,1960-11-05,GBR
Robert,Redford,1936-08-18,USA
Emma,Watson,1990-04-15,GBR
Leonardo,DiCaprio,1974-11-11,USA
Javier,Bardem,1969-03-01,ESP
Michelle,Willliams,1980-09-09,USA
Ben,Affleck,1972-08-15,USA
Julianne,Moore,1960-12-03,USA
Bradley,Cooper,1975-01-05,USA
Reese,Witherspoon,1976-03-22,USA
Hugh,Jackman,1968-10-12,AUS
Kate,Winslet,1975-10-05,GBR
Maggie,Smith,1934-12-28,GBR
Richard,Gere,1949-08-31,USA
Clive,Owen,1964-10-03,GBR
Jeremy,Renner,1971-01-07,USA
Scarlett,Johansson,1984-11-22,USA
Leonardo,DiCaprio,1974-11-11,USA
Natalie,Portman,1981-06-09,ISR
Mila,Kunis,1983-08-14,USA
Matthew,McConaughey,1969-11-04,USA
Kate,Blanchett,1969-05-14,AUS
Zoe,Saldana,1978-06-19,DOM
Tom,Hiddleston,1981-02-09,GBR
Anna,Hathaway,1982-11-12,USA
Mark,Ruffalo,1967-11-22,USA
Julianne,Moore,1960-12-03,USA
Willem,Dafoe,1955-07-22,USA
Olivia,Colman,1974-01-30,GBR
Chris,Evans,1981-06-13,USA
Emily,Blunt,1983-02-23,GBR
Nicolas,Cage,1964-01-07,USA
Amy,Adams,1974-08-20,USA
James,McAvoy,1979-04-21,GBR
Tessa,Thompson,1983-10-03,USA
John,David,Washington,1984-07-28,USA
Meryl,Streep,1949-06-22,USA
Ryan,Reynolds,1976-10-23,USA
Kerry,Washington,1977-01-31,USA
Michael,Shannon,1974-08-07,USA
Tessa,Thompson,1983-10-03,USA
Hugh,Grant,1960-09-09,GBR
Naomi,Watts,1968-09-28,AUS
Janelle,Monáe,1985-12-01,USA
Timothée,Chalamet,1995-12-27,USA
Margot,Robbie,1990-07-02,AUS
Sarah,Paulson,1974-12-17,USA
Daniel,Kaluuya,1989-02-24,GBR
Ethan,Hawke,1970-11-06,USA
Jodie,Foster,1962-11-19,USA
Paul,Rudd,1969-04-06,USA
Frances,McDormand,1957-06-23,USA
Jessica,Chastain,1977-03-24,USA
