nombre,apellido,nacimiento
Christopher,Nolan,1970-07-30
Quentin,Tarantino,1963-03-27
Bong,Joon-ho,1969-09-14
Martin,Scorsese,1942-11-17
James,Cameron,1954-08-16
David,Fincher,1962-08-28
Damien,Chazelle,1985-01-19
Frank,Darabont,1959-01-28
Hayao,Miyazaki,1941-01-05
David,O.Russell,1958-08-20
Ridley,Scott,1937-11-30
Wes,Anderson,1969-05-01
Steve,McQueen,1969-10-09
George,Lucas,1944-05-14
Sidney,Poitier,1927-02-20
M. Night,Shyamalan,1970-08-06
Michael,Haneke,1942-03-23
Pedro,Almodóvar,1949-09-25
Tim,Burton,1958-08-25
Robert,Zemeckis,1952-05-14
Sofia,Coppola,1971-05-14
Kathryn,Bigelow,1951-11-27
Ridley,Scott,1937-11-30
John,Carpenter,1948-01-16
Denis,Villeneuve,1967-10-03
P.T.,Anderson,1970-06-26
