nombre,inicio_de_actividades,vigente
Warner Bros.,1923-04-04,TRUE
Universal Pictures,1912-08-08,TRUE
20th Century Studios,1935-05-31,TRUE
Columbia Pictures,1924-01-10,TRUE
Paramount Pictures,1912-05-08,TRUE
Sony Pictures,1987-05-07,TRUE
Metro-Goldwyn-Mayer (MGM),1924-04-17,TRUE
Walt Disney Studios,1923-10-16,TRUE
New Line Cinema,1967-02-05,TRUE
Lionsgate,1997-07-10,TRUE
DreamWorks Pictures,1994-10-12,TRUE
Focus Features,2002-09-01,TRUE
The Weinstein Company,2005-10-01,FALSE
Luca Film,1971-05-14,TRUE
TriStar Pictures,1982-04-01,TRUE
United Artists,1919-02-04,FALSE
Relativity Media,2004-11-01,FALSE
Searchlight Pictures,1994-04-17,TRUE
A24,2012-08-20,TRUE
Amblin Entertainment,1984-04-19,TRUE
Blumhouse Productions,2000-02-11,TRUE
Orion Pictures,1978-09-07,FALSE
Hulu Originals,2008-03-01,TRUE
HBO Films,1977-05-01,TRUE
Vertical Entertainment,2012-06-18,TRUE
