nombre,estreno,genero,id_estudio,cod_pais
Inception,2010-07-16,Sci-Fi,1,USA
The Godfather,1972-03-24,Crime,3,USA
Parasite,2019-05-30,Thriller,18,KOR
Pulp Fiction,1994-10-14,Crime,11,USA
The Matrix,1999-03-31,Sci-Fi,1,USA
Avengers: Endgame,2019-04-26,Action,4,USA
La La Land,2016-12-09,Musical,12,USA
The Shawshank Redemption,1994-09-23,Drama,3,USA
Spirited Away,2001-07-20,Animation,13,JPN
Fight Club,1999-10-15,Drama,20,USA
Gladiator,2000-05-05,Action,6,USA
The Dark Knight,2008-07-18,Action,1,USA
Forrest Gump,1994-07-06,Drama,3,USA
Avatar,2009-12-18,Sci-Fi,6,USA
The Grand Budapest Hotel,2014-03-28,Comedy,15,USA
Interstellar,2014-11-07,Sci-Fi,1,USA
Whiplash,2014-10-10,Drama,16,USA
Mad Max: Fury Road,2015-05-15,Action,1,USA
Joker,2019-10-04,Drama,1,USA
The Social Network,2010-10-01,Drama,2,USA
Moonlight,2016-10-21,Drama,16,USA
The Revenant,2015-12-25,Drama,6,USA
Her,2013-12-18,Sci-Fi,2,USA
The Irishman,2019-11-27,Crime,12,USA
Your Name,2016-08-26,Animation,13,JPN
Once Upon a Time in Hollywood,2019-07-26,Drama,2,USA
The Usual Suspects,1995-08-16,Crime,9,USA
Crouching Tiger, Hidden Dragon,2000-01-12,Action,7,CHN
A Beautiful Mind,2001-12-21,Biography,6,USA
The Silence of the Lambs,1991-02-14,Thriller,6,USA
The Wolf of Wall Street,2013-12-25,Comedy,2,USA
Knives Out,2019-11-27,Mystery,9,USA
The Big Lebowski,1998-03-06,Comedy,2,USA
Singin in the Rain,1952-04-11,Musical,1,USA
Inglourious Basterds,2009-08-21,War,2,USA
Arrival,2016-11-11,Sci-Fi,2,USA
The Shape of Water,2017-12-08,Fantasy,15,USA
The Departed,2006-10-06,Crime,2,USA
Django Unchained,2012-12-25,Western,2,USA
The Kings Speech,2010-01-07,Drama,15,GBR
Gravity,2013-10-04,Sci-Fi,1,USA
12 Years a Slave,2013-10-18,Drama,15,USA
The Intouchables,2011-11-02,Comedy,18,FRA
The Hunt for Red October,1990-03-02,Thriller,3,USA
The Prestige,2006-10-20,Drama,1,USA
Black Swan,2010-12-03,Drama,15,USA
Moulin Rouge!,2001-06-01,Musical,6,USA
The Artist,2011-11-23,Drama,15,FRA
The Revenant,2015-12-25,Adventure,6,USA
The Truman Show,1998-06-05,Drama,1,USA
